"Cryptocurreny Pairs Traded, sorted by Highest Price",,,,,,,,,,,,,,,,,,,
Pair Name,Pairs Symbols,Returns (%),Coin1,Coin2,Coin1 ADF p-value,Coin2 ADF p-value,Coin1 Mean,Coin2 Mean,Coin1 Std Dev,Coin2 Std Dev,Coin1 Max,Coin2 Max,Coin1 Min,Coin2 Min,Coin1 ADF Stat,Coin2 ADF Stat,Coin1 5% Conf,Coin2 5% Conf,Mean Total
Bitcoin/BItcoin Cash,BTC/BCC,303.23,BTC,BCC,0.0051,0.0103,8366.3779,1084.5671,3866.2162,690.4335,19343.0400,3715.9099,2723.5800,220.3000,-3.6343,-3.4214,-2.8726,-2.8726,9450.9450
Bitcoin/Ethereum,BTC/ETH,115.56,BTC,ETH,0.2532,0.2810,8366.3779,551.6717,3866.2162,283.1183,19343.0400,1385.0200,2723.5800,218.1200,-2.0787,-2.0129,-2.8730,-2.8730,8918.0495
Bitcoin/Dash,BTC/DASH,173.04,BTC,DASH,0.3075,0.3295,8366.3779,520.5694,3866.2162,274.5520,19343.0400,1433.4100,2723.5800,181.6000,-1.9532,-1.9054,-2.8730,-2.8730,8886.9473
Bitcoin/Monero,BTC/XMR,372.90,BTC,XMR,0.2456,0.2619,8366.3779,197.2312,3866.2162,105.4887,19343.0400,467.5000,2723.5800,43.2400,-2.0974,-2.0576,-2.8726,-2.8726,8563.6090
Bitcoin/Litecoin,BTC/LTC,352.24,BTC,LTC,0.3323,0.3292,8366.3779,128.8934,3866.2162,77.1845,19343.0400,357.5100,2723.5800,41.9200,-1.8995,-1.9061,-2.8730,-2.8730,8495.2713
Bitcoin/EOS,BTC/EOS,88.11,BTC,EOS,0.9592,0.9745,8366.3779,5.1982,3866.2162,4.2870,19343.0400,16.6100,2723.5800,0.4924,0.0081,0.2412,-2.8725,-2.8725,8371.5761
Bitcoin/IOTA,BTC/IOT,290.74,BTC,IOT,0.2618,0.2831,8366.3779,1.5647,3866.2162,1.1977,19343.0400,5.3200,2723.5800,0.2860,-2.0578,-2.0078,-2.8730,-2.8730,8367.9425
Bitcoin/Ripple,BTC/XRP,379.65,BTC,XRP,0.0183,0.0255,8366.3779,0.6295,3866.2162,0.5565,19343.0400,2.7800,2723.5800,0.1526,-3.2300,-3.1148,-2.8727,-2.8727,8367.0074
Bitcoin/Stellar,BTC/XLM,801.59,BTC,XLM,0.3545,0.5160,8366.3779,0.1991,3866.2162,0.1949,19343.0400,0.8848,2723.5800,0.0106,-1.8529,-1.5352,-2.8729,-2.8729,8366.5769
BItcoin Cash/Ethereum,BCC/ETH,-52.57,BCC,ETH,0.2026,0.1977,1084.5671,551.6717,690.4335,283.1183,3715.9099,1385.0200,220.3000,218.1200,-2.2101,-2.2240,-2.8726,-2.8726,1636.2388
BItcoin Cash/Dash,BCC/DASH,99.45,BCC,DASH,0.0138,0.0103,1084.5671,520.5694,690.4335,274.5520,3715.9099,1433.4100,220.3000,181.6000,-3.3238,-3.4206,-2.8724,-2.8724,1605.1366
BItcoin Cash/Monero,BCC/XMR,129.21,BCC,XMR,0.0530,0.0471,1084.5671,197.2312,690.4335,105.4887,3715.9099,467.5000,220.3000,43.2400,-2.8380,-2.8854,-2.8723,-2.8723,1281.7983
