Coin1,Coin1 1% Conf,Coin1 10% Conf,Coin1 5% Conf,Coin1 ADF Stat,Coin1 Max,Coin1 Mean,Coin1 Min,Coin1 Std Dev,Coin1 p-value,Coin2,Coin2 1% Conf,Coin2 10% Conf,Coin2 5% Conf,Coin2 ADF Stat,Coin2 Max,Coin2 Mean,Coin2 Min,Coin2 Std Dev,Coin2 p-value,Pair Name,returns
BTC,-3.455365238788105,-2.5726375763314966,-2.8725510317187024,-3.6342586243558657,19343.04,8366.377851851845,2723.58,3866.216165303665,0.005138859052968668,BCC,-3.455365238788105,-2.5726375763314966,-2.8725510317187024,-3.421366275622737,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.010251706899031956,BTC/BCC,303.22637615418364
BTC,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-2.0786875177544246,19343.04,8366.377851851845,2723.58,3866.216165303665,0.25317035363815477,ETH,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-2.0128869560254015,1385.02002,551.6716657148148,218.11999500000002,283.1183450928488,0.28095136044382285,BTC/ETH,115.5638677485638
BTC,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-1.8995383307675922,19343.04,8366.377851851845,2723.58,3866.216165303665,0.33227832566144033,LTC,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-1.906088265425804,357.51001,128.89340737037048,41.919998,77.18448935059806,0.3292024414352631,BTC/LTC,352.24180748064725
BTC,-3.4557539868570775,-2.572728476331361,-2.8727214497041422,-3.2299686178219558,19343.04,8366.377851851845,2723.58,3866.216165303665,0.01831420583505133,XRP,-3.4557539868570775,-2.572728476331361,-2.8727214497041422,-3.1147581865250764,2.78,0.629543333333333,0.1526,0.5564506793990857,0.02548012017395733,BTC/XRP,379.65167042005726
BTC,-3.4552699038400827,-2.5726152830188678,-2.8725092359464526,0.008062204686298325,19343.04,8366.377851851845,2723.58,3866.216165303665,0.9591937679338733,EOS,-3.4552699038400827,-2.5726152830188678,-2.8725092359464526,0.2412445623984562,16.61,5.198221111111111,0.4924,4.287009349482963,0.9744822844551734,BTC/EOS,88.10629125925705
BTC,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-1.8528664482559187,19343.04,8366.377851851845,2723.58,3866.216165303665,0.35454843991486484,XLM,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-1.5352183018515528,0.8848,0.19907681481481485,0.01057,0.19488682665569954,0.5160230282596365,BTC/XLM,801.5875543479044
BTC,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-2.057766270385162,19343.04,8366.377851851845,2723.58,3866.216165303665,0.26183240351476555,IOT,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-2.0078366769587186,5.32,1.564674444444444,0.28600000000000003,1.1976989612704838,0.2831475959519877,BTC/IOT,290.7369788316382
BTC,-3.4554613060274972,-2.5726600403359887,-2.8725931472675046,-2.0974026007489406,19343.04,8366.377851851845,2723.58,3866.216165303665,0.24556031069011736,XMR,-3.4554613060274972,-2.5726600403359887,-2.8725931472675046,-2.057603463684399,467.5,197.2311852592592,43.240002000000004,105.48872665639159,0.2619004445139253,BTC/XMR,372.89974255076055
BTC,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-1.9531862556874489,19343.04,8366.377851851845,2723.58,3866.216165303665,0.3074686987827562,DASH,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-1.9054044719340764,1433.410034,520.5694067555559,181.600006,274.5520267078776,0.32952296353961974,BTC/DASH,173.0363699132696
BCC,-3.455558114028747,-2.572682677000175,-2.872635586277424,-2.210123780286516,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.2025916486063668,ETH,-3.455558114028747,-2.572682677000175,-2.872635586277424,-2.2239763546300724,1385.02002,551.6716657148148,218.11999500000002,283.1183450928488,0.19765877982542018,BCC/ETH,-52.567294881565005
BCC,-3.4556556713934934,-2.57270548832225,-2.872678352489859,-2.4654855931078887,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.12409944866408079,LTC,-3.4556556713934934,-2.57270548832225,-2.872678352489859,-2.4940920004807787,357.51001,128.89340737037048,41.919998,77.18448935059806,0.11691843049169293,BCC/LTC,-31.054058623767745
BCC,-3.455952927706342,-2.572774990685656,-2.8728086526320302,-2.2971726959299357,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.1728814548582983,XRP,-3.4560535712549925,-2.5727985212493754,-2.8728527662442334,-1.9997547676099026,2.78,0.629543333333333,0.1526,0.5564506793990857,0.2866806353769304,BCC/XRP,117.93873884650515
BCC,-3.455175292841607,-2.57259315846006,-2.8724677563219485,-0.7427773911908843,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.8353559886174862,EOS,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-0.6878581013919629,16.61,5.198221111111111,0.4924,4.287009349482963,0.8498695456587486,BCC/EOS,251.60212055284447
BCC,-3.4562572510874396,-2.5728461399461744,-2.8729420379793598,-1.4078402633251492,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.5785116794575071,XLM,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-2.080038621120729,0.8848,0.19907681481481485,0.01057,0.19488682665569954,0.25261654925160654,BCC/XLM,-33.965696818531285
